Setup title,"mosfet 14 meas"
4.045,0.012796
4.06,0.012784
4.075,0.01277
4.09,0.012756
4.105,0.012742
4.12,0.012728
4.135,0.012716
4.15,0.0127
4.165,0.01269
4.18,0.012674
4.195,0.012662
4.21,0.01265
4.225,0.012638
4.24,0.012624
4.255,0.01261
4.27,0.012598
4.285,0.012586
4.3,0.01257
4.315,0.01256
4.33,0.012544
4.345,0.012534
4.36,0.012518
4.375,0.012506
4.39,0.012494
4.405,0.012482
4.42,0.012472
4.435,0.012458
4.45,0.012448
4.465,0.012432
4.48,0.01242
4.495,0.012406
4.51,0.012394
4.525,0.012384
4.54,0.01237
4.555,0.012358
4.57,0.012344
4.585,0.01233
4.6,0.01232
4.615,0.01231
4.63,0.012296
4.645,0.012286
4.66,0.01227
4.675,0.01226
4.69,0.012248
4.705,0.012238
4.72,0.012222
4.735,0.012212
4.75,0.0122
4.765,0.01219
4.78,0.012176
4.795,0.012164
4.81,0.012156
4.825,0.012142
4.84,0.01213
4.855,0.01212
4.87,0.012108
4.885,0.012096
4.9,0.012082
4.915,0.012072
4.93,0.012062
4.945,0.012048
4.96,0.012038
4.975,0.012024
4.99,0.012016
5.005,0.012
5.02,0.011992
5.035,0.01198
5.05,0.01197
5.065,0.011958
5.08,0.011946
5.095,0.011936
5.11,0.011926
5.125,0.011912
5.14,0.011902
5.155,0.011892
5.17,0.01188
5.185,0.011866
5.2,0.01186
5.215,0.011848
5.23,0.011836
5.245,0.011828
5.26,0.011812
5.275,0.011806
5.29,0.01179
5.305,0.011784
5.32,0.011774
5.335,0.01176
5.35,0.01175
5.365,0.011742
5.38,0.01173
5.395,0.01172
5.41,0.01171
5.425,0.0117
5.44,0.01169
5.455,0.011678
5.47,0.011668
5.485,0.01166
5.5,0.011648
5.515,0.011638
5.53,0.011628
5.545,0.011616
5.56,0.011608
5.575,0.011596
5.59,0.011586
5.605,0.011574
5.62,0.011564
5.635,0.011556
5.65,0.011544
5.665,0.011538
5.68,0.011524
5.695,0.011512
5.71,0.011504
5.725,0.011494
5.74,0.011484
5.755,0.011474
5.77,0.011464
5.785,0.011454
5.8,0.011442
5.815,0.011436
5.83,0.011426
5.845,0.011416
5.86,0.011404
5.875,0.011396
5.89,0.011386
5.905,0.011376
5.92,0.011366
5.935,0.011356
5.95,0.011346
5.965,0.011338
5.98,0.011326
5.995,0.01132
6.01,0.011308
6.025,0.011302
6.04,0.011292
6.055,0.01128
6.07,0.011272
6.085,0.011262
6.1,0.011252
6.115,0.011242
6.13,0.011236
6.145,0.011226
6.16,0.011216
6.175,0.011206
6.19,0.011198
6.205,0.011186
6.22,0.011178
6.235,0.01117
6.25,0.011162
6.265,0.011152
6.28,0.011142
6.295,0.011132
6.31,0.011124
6.325,0.011114
6.34,0.011106
6.355,0.011096
6.37,0.011088
6.385,0.011078
6.4,0.011068
6.415,0.011062
6.43,0.011052
6.445,0.011042
6.46,0.011034
6.475,0.011026
6.49,0.011016
6.505,0.011006
6.52,0.011002
6.535,0.01099
6.55,0.01098
6.565,0.010974
6.58,0.010966
6.595,0.010956
6.61,0.010948
6.625,0.01094
6.64,0.010932
6.655,0.010924
6.67,0.010914
6.685,0.010904
6.7,0.010898
6.715,0.010888
6.73,0.010882
6.745,0.01087
6.76,0.01086
6.775,0.010854
6.79,0.010846
6.805,0.010842
6.82,0.01083
6.835,0.01082
6.85,0.010814
6.865,0.010804
6.88,0.010796
6.895,0.010786
6.91,0.01078
6.925,0.010772
6.94,0.010764
6.955,0.010756
6.97,0.010748
6.985,0.010738
7,0.010732
7.015,0.010724
7.03,0.010714
7.045,0.010706
7.06,0.010698
7.075,0.01069
7.09,0.010684
7.105,0.010676
7.12,0.010668
7.135,0.01066
7.15,0.010652
7.165,0.010644
7.18,0.010634
7.195,0.010628
7.21,0.010618
7.225,0.010612
7.24,0.010602
7.255,0.010592
7.27,0.010588
7.285,0.010576
7.3,0.01057
7.315,0.010562
7.33,0.010554
7.345,0.010548
7.36,0.010538
7.375,0.01053
7.39,0.010524
7.405,0.010516
7.42,0.010508
7.435,0.010498
7.45,0.010492
7.465,0.010486
7.48,0.010478
7.495,0.010468
7.51,0.010462
7.525,0.010454
7.54,0.010446
7.555,0.010442
7.57,0.010432
7.585,0.010426
7.6,0.010418
7.615,0.01041
7.63,0.010402
7.645,0.010396
7.66,0.010384
7.675,0.01038
7.69,0.010372
7.705,0.010366
7.72,0.010358
7.735,0.01035
7.75,0.010342
7.765,0.010336
7.78,0.01033
7.795,0.010324
7.81,0.010316
7.825,0.010306
7.84,0.0103
7.855,0.010292
7.87,0.010284
7.885,0.01028
7.9,0.01027
7.915,0.010264
7.93,0.010258
7.945,0.01025
7.96,0.010242
7.975,0.010238
7.99,0.010232
8.005,0.010222
8.02,0.010216
8.035,0.010206
8.05,0.010202
8.065,0.010194
8.08,0.010188
8.095,0.01018
8.11,0.010172
8.125,0.010166
8.14,0.01016
8.155,0.010152
8.17,0.010146
8.185,0.010134
8.2,0.010132
8.215,0.010122
8.23,0.010116
8.245,0.010108
8.26,0.010102
8.275,0.010098
8.29,0.01009
8.305,0.010084
8.32,0.010078
8.335,0.01007
8.35,0.010064
8.365,0.010056
8.38,0.010052
8.395,0.010042
8.41,0.010036
8.425,0.010032
8.44,0.010022
8.455,0.010018
8.47,0.010008
8.485,0.010004
8.5,0.009998
8.515,0.00999
8.53,0.009988
8.545,0.009978
8.56,0.00997
8.575,0.009964
8.59,0.009958
8.605,0.009952
8.62,0.009946
8.635,0.009942
8.65,0.009932
8.665,0.009924
8.68,0.009922
8.695,0.009914
8.71,0.009906
8.725,0.0099
8.74,0.009896
8.755,0.009888
8.77,0.009878
8.785,0.009874
8.8,0.00987
8.815,0.009864
8.83,0.009854
8.845,0.009848
8.86,0.009842
8.875,0.009838
8.89,0.009832
8.905,0.009826
8.92,0.009822
8.935,0.009814
8.95,0.009806
8.965,0.009798
